Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,259.0,194.0,109.0,62.0,65.0,107.0,77.0,101.0,71.0,41.0,90.0,106.0,84.0,155.0,905.0,1404.0
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,70.0,78.0,18.0,40.0,33.0,65.0,23.0,24.0,22.0,17.0,54.0,74.0,66.0,83.0,320.0,610.0
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,98.0,99.0,20.0,26.0,19.0,26.0,28.0,38.0,40.0,28.0,34.0,27.0,33.0,57.0,347.0,583.0
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,128.0,108.0,59.0,92.0,74.0,102.0,70.0,78.0,90.0,89.0,193.0,173.0,184.0,219.0,1053.0,1477.0
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,373.0,333.0,106.0,147.0,147.0,207.0,119.0,129.0,222.0,115.0,185.0,198.0,278.0,339.0,2019.0,2463.0
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,109.0,161.0,76.0,67.0,52.0,82.0,78.0,62.0,31.0,32.0,35.0,38.0,49.0,80.0,360.0,641.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,182.0,247.0,156.0,142.0,157.0,120.0,97.0,120.0,112.0,140.0,210.0,234.0,357.0,341.0,1036.0,1630.0
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,60.0,106.0,49.0,43.0,37.0,67.0,49.0,55.0,75.0,45.0,59.0,62.0,109.0,74.0,583.0,825.0
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,303.0,169.0,91.0,95.0,84.0,83.0,69.0,46.0,49.0,33.0,59.0,140.0,144.0,146.0,1671.0,2303.0
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,159.0,158.0,62.0,59.0,51.0,103.0,16.0,30.0,31.0,36.0,134.0,132.0,127.0,155.0,721.0,1136.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2571.0,2760.0,2614.0,3476.0,201.0,2571.0,1477.0,942.0,687.0,266.0,419.0,1248.0,1516.0,1695.0,11571.0,15394.0
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,462.0,577.0,227.0,478.0,39.0,97.0,102.0,42.0,56.0,54.0,25.0,154.0,199.0,236.0,2232.0,3205.0
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,53.0,101.0,133.0,156.0,2.0,164.0,106.0,79.0,56.0,14.0,13.0,31.0,43.0,76.0,424.0,565.0
